id	chr	start	end	logFC	AveExpr	t	P.Value	adj.P.Val	B
GL456370.1_8078_8478	GL456370.1	8078	8478	-1.54844851229979	4.46785977821632	-5.94895747870773	2.70815717500325e-09	6.30161093051505e-05	9.05636647170346
GL456392.1_21973_22373	GL456392.1	21973	22373	0.527361213286618	8.852106656166	5.8156397480971	6.05991288943091e-09	7.05040565120839e-05	10.0511151496048
JH584304.1_113099_113499	JH584304.1	113099	113499	0.7566218034321	6.25399466971606	5.33364744885609	9.64832931791509e-08	0.000748356582995221	7.3612424345582
chr2_163119321_163119721	chr2	163119321	163119721	1.63434295934601	4.04600212782409	4.69026325695104	2.73240355441541e-06	0.0158950745769231	2.66547463023705
chr6_51205396_51205796	chr6	51205396	51205796	-1.34887117332758	4.19807506390695	-4.50629831336997	6.60485017982726e-06	0.0307376517668801	2.52735156903193
JH584304.1_98112_98512	JH584304.1	98112	98512	0.574446082087325	6.29393869222915	4.08905228655481	4.33502708539912e-05	0.16811957541692	1.85673406408366
chr19_6471800_6472200	chr19	6471800	6472200	1.19575630360956	4.13333568020848	3.94615568646753	7.9474231454189e-05	0.264183698815361	0.66884979059259
chr11_114119343_114119743	chr11	114119343	114119743	1.15058512483049	4.09443495079809	3.83688733952057	0.000124685793345572	0.270853760897392	0.360089489071673
chr2_169885629_169886029	chr2	169885629	169886029	1.00713585657208	4.29072009857437	3.83638797807826	0.000124939429337019	0.270853760897392	0.5698150640882
GL456239.1_39350_39750	GL456239.1	39350	39750	-0.575784591561347	5.84905166276317	-3.82039159248676	0.00013332643546837	0.270853760897392	0.862222947739267
JH584304.1_68816_69216	JH584304.1	68816	69216	0.435997308880872	7.75403614812558	3.80366652677217	0.000142661089693987	0.270853760897392	0.744394349219429
chr17_28400340_28400740	chr17	28400340	28400740	1.06278927185955	4.21308937054115	3.79333478642032	0.000148731460505278	0.270853760897392	0.342536545617374
chr5_145609796_145610196	chr5	145609796	145610196	-1.09451720728882	4.11220202850962	-3.78904700220304	0.000151321453077747	0.270853760897392	0.281573908088734
chr7_138363676_138364076	chr7	138363676	138364076	1.03405414906774	4.22250473625337	3.74990152961984	0.000177011065666057	0.294205034784535	0.235037166259724
chr1_33681226_33681626	chr1	33681226	33681626	-1.2215727478974	3.89874310143319	-3.71379783824931	0.000204291047111162	0.29808413593056	-0.163779731035588
GL456239.1_1291_1691	GL456239.1	1291	1691	-0.658277098334051	5.11883086184831	-3.71296373761487	0.000204965669985344	0.29808413593056	0.470096822827025
chr17_30600439_30600839	chr17	30600439	30600839	1.22316685018097	4.07800546585041	3.64653476830848	0.000265945338102051	0.326249816106607	-0.383145081361084
chr3_131321970_131322370	chr3	131321970	131322370	1.28640030630349	3.96290674876143	3.64635186945575	0.000266134579513386	0.326249816106607	-0.481581632550633
GL456239.1_38421_38821	GL456239.1	38421	38821	-0.468273213998369	7.01690055461801	-3.64610032447879	0.000266395053763614	0.326249816106607	0.224160068027015
chr2_91968072_91968472	chr2	91968072	91968472	1.03082899997534	4.11997192654944	3.61317239888608	0.000302632659795045	0.339102722628259	-0.213597867853556
chr5_136153386_136153786	chr5	136153386	136153786	-1.00934560066818	4.14287555027507	-3.61027230393431	0.000306036235987513	0.339102722628259	-0.194880622142872
JH584304.1_103352_103752	JH584304.1	103352	103752	0.632016388871904	5.15891257078242	3.59520528668735	0.000324303341494029	0.343009747873844	0.0810195749050235
